68,64
70,84
73,103
75,122
81,139
91,155
103,170
118,183
136,188
154,185
171,174
185,159
195,141
201,122
203,102
207,82
209,61
78,56
86,50
96,47
107,48
118,52
147,52
158,47
171,47
183,51
192,58
133,66
133,81
133,96
133,112
119,112
126,117
134,121
142,118
149,114
92,66
100,62
108,62
116,68
107,68
99,68
152,70
160,65
169,64
177,69
169,70
161,70
102,125
115,124
126,125
135,127
145,126
157,126
171,127
158,142
145,149
135,149
125,148
113,140
106,127
126,130
135,132
144,131
167,128
145,141
135,142
125,140
