63,86
67,106
71,126
78,146
87,164
102,179
118,193
134,205
153,207
172,201
190,189
208,174
221,155
228,133
229,109
228,85
227,62
69,68
76,59
87,56
99,57
111,60
145,53
156,45
170,42
184,43
198,49
130,74
131,89
132,105
133,120
122,126
129,129
137,131
146,127
154,123
84,81
92,74
103,73
113,80
103,83
93,84
156,74
164,65
176,63
186,68
178,73
167,75
110,146
118,139
130,137
141,139
153,135
169,134
185,137
173,156
158,167
146,170
134,169
121,162
114,146
131,143
142,143
154,141
182,138
156,158
144,161
132,159
