66,97
64,116
63,134
65,154
70,175
80,193
93,210
107,227
125,236
147,235
170,227
191,215
210,197
221,176
227,154
234,130
237,105
66,78
74,68
87,68
100,72
112,78
151,79
167,71
185,69
202,73
216,84
129,95
127,110
124,125
121,140
108,146
115,150
124,155
136,152
147,149
81,95
90,91
100,91
112,99
99,98
89,98
159,101
171,95
183,96
194,101
182,103
170,102
93,161
105,161
117,161
127,164
138,164
158,166
180,169
158,185
138,191
127,191
116,188
104,179
98,163
117,168
127,171
138,171
176,170
138,185
127,184
116,181
