30,105
40,131
51,156
64,179
85,196
110,209
135,219
158,227
179,224
197,209
208,186
219,163
229,139
232,114
227,87
220,61
212,34
37,84
43,67
58,55
76,50
96,51
136,41
149,27
164,19
180,18
193,26
123,71
129,90
134,109
140,128
123,139
135,139
147,139
156,131
164,123
62,94
70,84
83,79
99,84
87,90
74,94
148,65
157,52
170,47
183,49
174,57
161,62
105,164
120,157
137,151
151,148
161,143
177,136
194,132
187,160
174,175
163,182
149,185
128,181
110,163
140,155
153,152
164,146
190,136
169,167
158,173
144,176
