72,69
73,88
77,106
80,123
86,140
96,153
109,164
125,173
141,174
156,169
171,160
183,147
192,133
197,116
199,99
201,82
201,64
82,57
91,51
102,49
113,50
124,54
150,52
160,47
171,45
182,47
190,53
138,67
138,79
139,91
139,102
127,109
133,111
140,112
145,110
151,108
96,69
104,64
113,65
120,71
112,73
103,73
154,70
161,63
170,62
177,66
171,70
162,71
110,127
121,123
132,121
140,122
148,120
158,121
169,123
159,138
149,146
140,148
132,147
120,141
113,128
132,127
140,127
148,126
165,125
148,137
140,139
132,138
