3,135
17,162
32,187
48,211
70,231
97,248
125,262
152,277
180,276
207,260
229,231
250,202
266,170
269,135
262,100
252,65
241,31
2,124
11,111
27,103
47,98
70,96
109,77
127,59
149,44
175,33
202,35
98,104
105,128
112,152
119,177
103,185
117,186
133,186
146,174
157,163
34,129
44,117
60,110
76,116
63,125
48,130
139,89
148,71
164,62
182,63
172,76
155,84
93,204
110,204
126,201
143,198
157,190
180,177
208,163
193,195
175,214
159,222
142,226
120,223
99,206
130,204
147,201
161,193
202,170
167,205
152,212
135,215
