110,197
112,249
119,300
128,350
148,395
178,435
215,472
256,503
301,512
346,503
386,472
424,436
453,395
473,349
482,299
489,248
491,195
141,162
167,144
200,139
233,144
263,158
339,157
369,143
402,139
434,144
460,163
301,197
301,234
301,272
302,310
262,320
281,328
301,336
321,328
339,321
180,199
202,185
228,187
250,206
225,208
200,207
352,206
374,187
399,186
421,200
401,208
376,209
212,363
245,358
277,357
300,362
324,357
356,359
389,363
358,405
326,425
300,428
274,424
242,405
224,367
276,370
300,374
324,371
377,367
325,400
300,403
276,400
